id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
24056,Linda-a-Velha,95163,Patrícia,Oeiras,"Algs, Linda-a-Velha e Cruz Quebrada-Dafundo",38.717143160843506,-9.239671611213481,Private room,84,2,0,,,1,365
25659,"Sunny,  Alfama  Sleeps 3 - Coeur d'Alfama",107347,Ellie,Lisboa,Santa Maria Maior,38.71167096516583,-9.126964005121897,Entire home/apt,60,3,87,2018-07-19,1.68,1,295
26993,Small nice apartment in the center,111686,Hans,Lisboa,Avenidas Novas,38.7307471132518,-9.148240120090625,Entire home/apt,80,3,6,2018-07-04,0.06,1,22
28066,ear the birds,120855,Vania,Azambuja,Aveiras de Cima,39.146542010200186,-8.915030626744553,Private room,53,1,0,,,1,365
29138,Room for rent in shared house,125304,Susana,Lisboa,Areeiro,38.73634050476809,-9.137916051458323,Private room,71,1,0,,,1,365
29248,Apartamento Alfama com vista para o rio!,125768,Bárbara,Lisboa,Santa Maria Maior,38.712717457510806,-9.126280191008563,Entire home/apt,60,3,266,2018-07-09,2.88,1,320
29396,Alfama Hill - Boutique apartment,126415,Mónica,Lisboa,Santa Maria Maior,38.71239177758482,-9.128870488130547,Entire home/apt,58,2,178,2018-07-09,2.36,2,275
29720,TheHOUSE - Your luxury home,128075,Francisco,Lisboa,Estrela,38.711954593855125,-9.158765603513068,Entire home/apt,1000,2,25,2018-07-01,0.27,1,285
29915, MODERN  AND COOL APT IN LISBON,128890,Sara,Lisboa,Avenidas Novas,38.74712064912973,-9.15286303562278,Entire home/apt,50,7,33,2018-01-01,0.34,1,26
30408,villa guincho,131107,Jack,Cascais,Cascais e Estoril,38.7283260144517,-9.465491329142727,Entire home/apt,65,1,23,2018-07-22,0.30,3,336
32094,cottage at guincho in large garden,131107,Jack,Cascais,Cascais e Estoril,38.727175920548895,-9.465853646392075,Entire home/apt,62,3,15,2018-04-01,0.20,3,350
33348,Happy Season,144484,Bruno,Lisboa,Lumiar,38.763814119174654,-9.152563108542916,Private room,40,1,2,2011-07-22,0.02,2,209
40817,"Chiado, Alecrim walk to Riverfront",176410,S.,Lisboa,Misericrdia,38.709532076028665,-9.14254679993081,Entire home/apt,45,1,291,2018-07-14,3.16,10,321
42311,Casa do Caseiro,184786,Antonio,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.79889799495205,-9.38719641831995,Entire home/apt,100,3,2,2018-06-06,0.09,1,342
42519,apartamento do adamastor 6 - 1º.,136230,David,Lisboa,Misericrdia,38.710820276809365,-9.150899599618478,Entire home/apt,75,2,88,2018-06-11,1.06,10,364
47717,Downtown to Castle - Apartment,217058,Luis & Sofia,Lisboa,Santa Maria Maior,38.71335524328078,-9.135390617729119,Entire home/apt,33,2,79,2018-05-04,0.93,2,212
48025,Apartment for renting  in Lisbon,218778,José,Lisboa,Misericrdia,38.71308874701775,-9.143919555040481,Entire home/apt,65,5,9,2016-07-04,0.11,5,280
48058,Small House Downtown Cascais ,218990,Pim,Cascais,Cascais e Estoril,38.69649730116864,-9.42570582073763,Entire home/apt,65,5,18,2018-07-12,0.45,1,143
48854,"4BR in villa, terrace, near market",222551,Dagmar,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.803339612348886,-9.379130946783505,Entire home/apt,185,2,31,2018-07-27,0.86,1,153
49673,Cottage Countryside / Beaches Golf,225364,Mercês,Alenquer,Alenquer (Santo Estvo e Triana),39.06002986711243,-9.046185232926106,Entire home/apt,200,7,1,2016-08-16,0.04,1,339
50108,Duplex do Pipas,229376,Pipas,Lisboa,Estrela,38.70388331034279,-9.165198729034634,Entire home/apt,60,2,33,2017-05-01,0.41,2,321
52298,rooms free in lisbon,241711,Paulo,Lisboa,Misericrdia,38.71213463983215,-9.149205221484069,Entire home/apt,310,1,0,,,1,365
55363,Arrendo Quarto,261438,Rute,Odivelas,Pvoa de Santo Adrio e Olival de Basto,38.799172699017355,-9.162308917756869,Private room,42,1,0,,,1,365
56471,Ribamar Beach Room,267647,Cristina,Mafra,Santo Isidoro,39.0018633698098,-9.41682932061026,Private room,30,1,17,2018-07-08,0.23,3,172
56906,Lisbon BALCONY Penthouse 15th floor,270457,Antonio,Lisboa,So Vicente,38.71903124922437,-9.123902722475973,Entire home/apt,40,2,115,2018-07-02,1.25,6,353
65553,The Gallery Apartment,320407,Caroline,Lisboa,Campo de Ourique,38.71843053581208,-9.167951813172921,Private room,54,3,140,2018-07-18,1.61,1,347
65878,Caetanos Loft,322145,João,Lisboa,Misericrdia,38.71294664184867,-9.147388138863999,Entire home/apt,83,2,52,2018-03-28,0.59,1,262
73764,Gallery /Garden and Piano Apartment,154341,Clara,Lisboa,Santo Antnio,38.721897048952286,-9.154622748794036,Entire home/apt,55,4,18,2014-09-16,0.20,2,60
73910,Apartment with sea view in Cascais,387176,Sandrine,Cascais,Cascais e Estoril,38.70154262633796,-9.435386740277156,Entire home/apt,80,3,5,2015-06-21,0.06,1,56
76132,A Romantic Renewed Apartment T1,405842,Silvia,Lisboa,Campolide,38.72807070470068,-9.16310551017877,Entire home/apt,65,5,0,,,4,282
77130,Studio Deco,412702,Ana,Lisboa,Misericrdia,38.712615447120776,-9.151434779792037,Entire home/apt,45,3,75,2018-04-28,0.86,2,213
77466,"2br ap @ Bairro Alto, Center Lisbon",415066,Nuno,Lisboa,Misericrdia,38.711359397646525,-9.145598659936766,Entire home/apt,70,4,288,2018-07-12,3.24,1,52
83700,Studio Cascais- Panoramic sea view,456477,Claudio,Cascais,Cascais e Estoril,38.69891379218214,-9.433770251726624,Entire home/apt,31,3,110,2018-07-16,1.24,2,291
83933,Charming flat with terrace in Graça,335614,Sebastien,Lisboa,So Vicente,38.720337550518636,-9.12891781819619,Entire home/apt,80,2,199,2018-07-04,2.35,2,6
84599,LV Premier Baixa PR,181902,Jose Luz,Lisboa,Santa Maria Maior,38.71180531356604,-9.13798837373435,Entire home/apt,83,1,63,2018-05-20,0.85,23,279
85270,Spacious Sunny Flat -Baixa/Rossio,383078,Hugo & Rita,Lisboa,Santa Maria Maior,38.71588454992203,-9.140651924202952,Entire home/apt,105,3,160,2018-07-19,1.83,1,278
88312,Appart lumineux coeur de Lisbonne.,482911,A.,Lisboa,Santo Antnio,38.723612918110575,-9.14339949727734,Entire home/apt,65,3,58,2018-07-24,0.66,1,303
88410,LISBOA PÁTRIA,483396,Miguel,Lisboa,So Vicente,38.71527219792574,-9.12306895871143,Entire home/apt,75,3,35,2017-09-28,0.40,1,209
89015,GREAT LUXURY HOUSE IN THE CENTER,485573,Justo,Lisboa,Misericrdia,38.712399665754575,-9.149889416270476,Entire home/apt,100,3,23,2018-07-12,0.27,1,322
90387,Lovely suite in downtown apartment,490050,Miguel,Lisboa,Santo Antnio,38.72138344753109,-9.144060533346524,Private room,40,2,247,2018-07-10,2.79,1,309
93829,Studio near to S Jorge Castle,183877,Cristina,Lisboa,So Vicente,38.71912259771803,-9.130575656752892,Entire home/apt,50,1,54,2018-07-08,1.06,1,187
95212,Big3 bd CHARM&WIFI in Perfect Spot!,502806,Kathia,Lisboa,Estrela,38.70715863572998,-9.152498669211232,Entire home/apt,110,3,70,2018-07-13,0.95,1,39
97503,Lovely equipped flat in city centre,515924,Joel,Lisboa,Santo Antnio,38.720236066075365,-9.143166418303018,Private room,22,12,41,2018-06-27,0.48,11,144
103252,BALCONY · Vila Berta,538753,André,Lisboa,So Vicente,38.71724722429272,-9.13006806964846,Entire home/apt,79,2,28,2018-07-25,1.12,7,23
104580,Quarto a estudante ou professor,544047,Sérgio,Oeiras,Barcarena,38.74620059650938,-9.278596106636485,Private room,17,1,7,2018-05-14,0.63,2,365
105560,Cozy room near the beach,547928,Paula,Cascais,Cascais e Estoril,38.70035268770171,-9.382468249679377,Private room,30,3,3,2018-07-13,2.57,1,135
108058,ROOM+Bathroom - 15 min to Center City (metro ROMA),557442,Fernanda,Lisboa,Alvalade,38.7480237747351,-9.140382250713694,Private room,26,2,64,2018-07-20,1.65,3,313
112497,Ocean View from The Sunny Flat,574017,Mateus,Cascais,Cascais e Estoril,38.699217281106996,-9.44053285136718,Entire home/apt,99,4,9,2017-09-02,0.10,2,107
117979,appartement neuf independant .,595941,Jean-Michel,Cascais,Alcabideche,38.717726685009595,-9.410873308162662,Private room,77,1,0,,,7,358
118653,"EngraciaSpa Jacuzzi, Sauna, Terrace",599213,Inês,Lisboa,So Vicente,38.72074037486968,-9.121970466296037,Entire home/apt,75,3,89,2018-07-06,1.65,1,138
