id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6499,Belém 1 Bedroom Historical Apartment,14455,Bruno,Lisboa,Belm,38.69675,-9.1984,Entire home/apt,36,3,10,2019-05-21,0.17,1,278
25659,"Sunny,  Alfama  Sleeps 3 - Coeur d'Alfama",107347,Ellie,Lisboa,Santa Maria Maior,38.71167,-9.12696,Entire home/apt,60,3,103,2019-07-16,1.61,1,294
28066,ear the birds,120855,Lucia,Azambuja,Aveiras de Cima,39.14654,-8.91503,Private room,53,1,0,,,1,365
29138,Room for rent in shared house,125304,Susana,Lisboa,Areeiro,38.73634,-9.13792,Private room,71,1,0,,,1,365
29248,Apartamento Alfama com vista para o rio!,125768,Bárbara,Lisboa,Santa Maria Maior,38.71272,-9.12628,Entire home/apt,60,3,305,2019-06-12,2.93,1,328
29396,Alfama Hill - Boutique apartment,126415,Mónica,Lisboa,Santa Maria Maior,38.71239,-9.12887,Entire home/apt,60,2,213,2019-06-20,2.44,2,258
29720,TheHOUSE - Your luxury home,128075,Francisco,Lisboa,Estrela,38.71195,-9.15877,Entire home/apt,1000,2,44,2019-07-07,0.42,2,278
40817,"Chiado, Alecrim walk to Riverfront",176410,S.,Lisboa,Misericrdia,38.70953,-9.14255,Entire home/apt,60,1,341,2019-06-29,3.28,15,315
42519,Nice Apart.BAIRRO ALTO (ADAMASTOR) 6-1º,136230,David,Lisboa,Misericrdia,38.71082,-9.1509,Entire home/apt,50,1,108,2019-07-16,1.14,11,357
48025,Apartment for renting  in Lisbon,218778,José,Lisboa,Misericrdia,38.71309,-9.14392,Entire home/apt,65,5,12,2019-07-01,0.12,5,267
48058,Small House Downtown Cascais ,218990,Pim,Cascais,Cascais e Estoril,38.6965,-9.42571,Entire home/apt,80,5,25,2019-07-13,0.48,1,296
