id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
24056,Linda-a-Velha,95163,Patrícia,Oeiras,"Algs, Linda-a-Velha e Cruz Quebrada-Dafundo",38.717143160843506,-9.239671611213481,Private room,84,2,0,,,1,365
25659,"Sunny,  Alfama  Sleeps 3 - Coeur d'Alfama",107347,Ellie,Lisboa,Santa Maria Maior,38.71167096516583,-9.126964005121897,Entire home/apt,60,3,92,2018-08-30,1.72,1,258
26993,Small nice apartment in the center,111686,Hans,Lisboa,Avenidas Novas,38.7307471132518,-9.148240120090625,Entire home/apt,80,3,6,2018-07-04,0.06,1,71
28066,ear the birds,120855,Vania,Azambuja,Aveiras de Cima,39.146542010200186,-8.915030626744553,Private room,53,1,0,,,1,365
29138,Room for rent in shared house,125304,Susana,Lisboa,Areeiro,38.73634050476809,-9.137916051458323,Private room,71,1,0,,,1,365
29248,Apartamento Alfama com vista para o rio!,125768,Bárbara,Lisboa,Santa Maria Maior,38.712717457510806,-9.126280191008563,Entire home/apt,60,3,275,2018-09-13,2.93,2,343
29396,Alfama Hill - Boutique apartment,126415,Mónica,Lisboa,Santa Maria Maior,38.71239177758482,-9.128870488130547,Entire home/apt,58,2,181,2018-09-11,2.35,2,298
29720,TheHOUSE - Your luxury home,128075,Francisco,Lisboa,Estrela,38.711954593855125,-9.158765603513068,Entire home/apt,1000,2,27,2018-08-16,0.29,2,321
29915, MODERN  AND COOL APT IN LISBON,128890,Sara,Lisboa,Avenidas Novas,38.74712064912973,-9.15286303562278,Entire home/apt,50,7,35,2018-08-31,0.35,1,69
30408,villa guincho,131107,Jack,Cascais,Cascais e Estoril,38.7283260144517,-9.465491329142727,Entire home/apt,85,1,26,2018-08-10,0.33,3,337
32094,cottage at guincho in large garden,131107,Jack,Cascais,Cascais e Estoril,38.727175920548895,-9.465853646392075,Entire home/apt,62,3,17,2018-09-04,0.22,3,327
33348,Happy Season,144484,Bruno,Lisboa,Lumiar,38.763814119174654,-9.152563108542916,Private room,40,1,2,2011-07-22,0.02,2,258
40817,"Chiado, Alecrim walk to Riverfront",176410,S.,Lisboa,Misericrdia,38.709532076028665,-9.14254679993081,Entire home/apt,45,1,296,2018-08-25,3.16,9,320
42172,CHIADO 4 - SUNNY flat dowtown CHIADO,184400,Justostay,Lisboa,Santa Maria Maior,38.71236589462287,-9.141526297211819,Entire home/apt,100,4,52,2018-01-02,0.54,10,354
42311,Casa do Caseiro,184786,Antonio,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.79889799495205,-9.38719641831995,Entire home/apt,100,3,2,2018-06-06,0.08,1,365
42519,apartamento do adamastor 6 - 1º.,136230,David,Lisboa,Misericrdia,38.710820276809365,-9.150899599618478,Entire home/apt,75,2,93,2018-08-19,1.10,11,258
47717,Downtown to Castle - Apartment,217058,Luis & Sofia,Lisboa,Santa Maria Maior,38.71335524328078,-9.135390617729119,Entire home/apt,33,2,80,2018-08-18,0.92,2,247
48025,Apartment for renting  in Lisbon,218778,José,Lisboa,Misericrdia,38.71308874701775,-9.143919555040481,Entire home/apt,65,5,9,2016-07-04,0.10,5,268
48058,Small House Downtown Cascais ,218990,Pim,Cascais,Cascais e Estoril,38.69649730116864,-9.42570582073763,Entire home/apt,70,5,19,2018-08-31,0.45,1,194
48854,"4BR in villa, terrace, near market",222551,Dagmar,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.803339612348886,-9.379130946783505,Entire home/apt,185,3,32,2018-07-30,0.85,1,185
49673,Cottage Countryside / Beaches Golf,225364,Mercês,Alenquer,Alenquer (Santo Estvo e Triana),39.06002986711243,-9.046185232926106,Entire home/apt,200,7,3,2018-08-26,0.12,1,363
50108,Duplex do Pipas,229376,Pipas,Lisboa,Estrela,38.70388331034279,-9.165198729034634,Entire home/apt,60,2,35,2018-08-11,0.43,2,345
52298,rooms free in lisbon,241711,Paulo,Lisboa,Misericrdia,38.71213463983215,-9.149205221484069,Entire home/apt,310,1,0,,,1,365
55116,Sonho Lisboa,259744,Miguel,Lisboa,Avenidas Novas,38.7260047876132,-9.155448399663321,Private room,69,2,3,2018-04-07,0.12,2,360
55363,Arrendo Quarto,261438,Rute,Odivelas,Pvoa de Santo Adrio e Olival de Basto,38.799172699017355,-9.162308917756869,Private room,42,1,0,,,1,365
56471,Ribamar Beach Room,267647,Cristina,Mafra,Santo Isidoro,39.0018633698098,-9.41682932061026,Private room,30,1,21,2018-08-29,0.28,2,178
56906,Lisbon BALCONY Penthouse 15th floor,270457,Antonio,Lisboa,So Vicente,38.71903124922437,-9.123902722475973,Entire home/apt,40,2,118,2018-09-07,1.26,6,344
65553,The Gallery Apartment,320407,Caroline,Lisboa,Campo de Ourique,38.71843053581208,-9.167951813172921,Private room,54,3,147,2018-09-15,1.66,1,342
65878,Caetanos Loft,322145,João,Lisboa,Misericrdia,38.71294664184867,-9.147388138863999,Entire home/apt,83,2,53,2018-09-13,0.59,1,303
73910,Apartment with sea view in Cascais,387176,Sandrine,Cascais,Cascais e Estoril,38.70154262633796,-9.435386740277156,Entire home/apt,80,3,5,2015-06-21,0.06,1,90
75171,Art Museum Apartm - 7680/AL,184400,Justostay,Lisboa,Estrela,38.70501456275632,-9.163481253549767,Entire home/apt,110,4,23,2018-07-15,0.27,10,356
76132,A Romantic Renewed Apartment T1,405842,Silvia,Lisboa,Campolide,38.72807070470068,-9.16310551017877,Entire home/apt,65,5,1,2018-08-14,0.88,4,320
77466,"2br ap @ Bairro Alto, Center Lisbon",415066,Nuno,Lisboa,Misericrdia,38.711359397646525,-9.145598659936766,Entire home/apt,70,4,293,2018-08-18,3.24,1,31
83615,Sleep 4 - Tram 28 - 302/AL,184400,Justostay,Lisboa,Estrela,38.712550229464256,-9.160008072570266,Entire home/apt,85,3,18,2018-04-30,0.24,10,360
